 , ,V, , , , , , ,V, , , , , , , , , , , , 
 , ,*, , , ,V, , ,*, , , , , , , , , ,V, , 
H,*,*,*,*,*,*,*,*,*, , , , , ,V, , , ,*, , 
 , ,n, , , ,u, , ,*, ,H,*,*,*,*,*,*,*,*,*, 
 , ,*,H,*,*,*,*,*,*,*,*,*,*,*,*,*, , ,g, , 
 , ,j, , , ,*, , ,*,H,*,*,*,*,*,*, , ,d, , 
 , ,*, ,H,*,*,*,*,*,*,*,*,*,*,*,*, , ,*, , 
 , , , , , , , , ,*,H,*,*,n,*,*,*,*, ,*, , 
 , , , , , , , , ,*, , , , , ,*, , , ,*, , 
 , , , , , , ,H,*,*,*,t,*,*,*,*, , , ,*, , 
 , , ,H,*,y,*,*,*,*, , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , 
[lietuvos upė],,,,,,,,,,,,,,,,,,,,,
[saugos prietaisas],,,,,,,,,,,,,,,,,,,,,
[gėlė],,,,,,,,,,,,,,,,,,,,,
[riešutas],,,,,,,,,,,,,,,,,,,,,
[spalva],,,,,,,,,,,,,,,,,,,,,
[naminis žinduolis],,,,,,,,,,,,,,,,,,,,,
[mėnuo],,,,,,,,,,,,,,,,,,,,,
[rusijos miestas],,,,,,,,,,,,,,,,,,,,,
[transporto priemonė],,,,,,,,,,,,,,,,,,,,,
[savaitės diena],,,,,,,,,,,,,,,,,,,,,
[vasaros šventė],,,,,,,,,,,,,,,,,,,,,
[medis],,,,,,,,,,,,,,,,,,,,,
[plėšri žuvis],,,,,,,,,,,,,,,,,,,,,
