lygis	MB 1	MB 2	MB 3	MB 4	MB 5	MB 6	MB 7	MB 8	MB 9	MB 10	MB 11	MB 12	MB 13	MB 14	MB 15	MB 16	MB 17	MB 18	MB 19	MB 20
1	5:00:00	4:49:10	4:38:50	4:28:50	4:19:00	4:09:50	4:00:50	3:52:10	3:43:40	3:35:40	3:28:00	3:20:30	3:13:10	3:06:20	2:59:30	2:53:10	2:46:50	2:40:50	2:35:00	2:29:30
2	5:14:10	5:02:50	4:52:00	4:41:30	4:31:20	4:21:30	4:12:10	4:03:00	3:54:20	3:45:50	3:37:50	3:30:00	3:22:20	3:15:00	3:08:00	3:01:20	2:54:50	2:48:30	2:42:20	2:36:30
3	5:28:40	5:16:50	5:05:20	4:54:20	4:43:50	4:33:30	4:23:40	4:14:10	4:05:00	3:56:10	3:47:40	3:39:30	3:31:40	3:24:00	3:16:40	3:09:40	3:02:50	2:56:10	2:49:50	2:43:40
4	5:43:10	5:30:50	5:19:00	5:07:30	4:56:20	4:45:40	4:35:30	4:25:30	4:16:00	4:06:40	3:57:50	3:49:20	3:41:00	3:33:00	3:25:20	3:18:00	3:10:50	3:04:00	2:57:20	2:51:00
5	5:58:00	5:45:10	5:32:40	5:20:40	5:09:10	4:58:00	4:47:20	4:37:00	4:27:00	4:17:20	4:08:10	3:59:10	3:50:30	3:42:20	3:34:20	3:26:30	3:19:10	3:12:00	3:05:00	2:58:20
6	6:13:00	5:59:40	5:46:40	5:34:10	5:22:10	5:10:30	4:59:20	4:48:30	4:38:10	4:28:10	4:18:30	4:09:10	4:00:10	3:51:40	3:43:20	3:35:10	3:27:30	3:20:00	3:12:50	3:05:50
7	6:28:10	6:14:20	6:00:50	5:47:50	5:35:20	5:23:10	5:11:30	5:00:20	4:49:30	4:39:10	4:29:00	4:19:20	4:10:00	4:01:00	3:52:20	3:44:00	3:36:00	3:28:10	3:20:40	3:13:30
8	6:43:40	6:29:10	6:15:10	6:01:40	5:48:40	5:36:00	5:24:00	5:12:20	5:01:00	4:50:10	4:39:50	4:29:40	4:20:00	4:10:40	4:01:40	3:52:50	3:44:30	3:36:30	3:28:40	3:21:10
9	6:59:20	6:44:10	6:29:40	6:15:40	6:02:10	5:49:10	5:36:30	5:24:20	5:12:40	5:01:30	4:50:40	4:40:10	4:30:00	4:20:20	4:11:00	4:02:00	3:53:10	3:44:50	3:36:40	3:29:00
10	7:15:10	6:59:30	6:44:30	6:29:50	6:15:50	6:02:20	5:49:20	5:36:40	5:24:30	5:12:50	5:01:40	4:50:50	4:40:20	4:30:10	4:20:30	4:11:10	4:02:00	3:53:20	3:45:00	3:36:50
11	7:31:20	7:15:00	6:59:20	6:44:20	6:29:40	6:15:40	6:02:10	5:49:10	5:36:30	5:24:30	5:12:50	5:01:30	4:50:40	4:40:10	4:30:10	4:20:20	4:11:00	4:02:00	3:53:20	3:44:50
12	7:47:40	7:30:50	7:14:30	6:58:50	6:43:50	6:29:20	6:15:20	6:01:50	5:48:40	5:36:10	5:24:00	5:12:20	5:01:10	4:50:20	4:39:50	4:29:50	4:20:10	4:10:40	4:01:40	3:53:00
13	8:04:10	7:46:40	7:30:00	7:13:40	6:58:10	6:43:00	6:28:30	6:14:30	6:01:00	5:48:00	5:35:30	5:23:30	5:11:50	5:00:40	4:49:50	4:39:20	4:29:20	4:19:40	4:10:10	4:01:10
14	8:21:00	8:02:50	7:45:30	7:28:50	7:12:40	6:57:00	6:42:00	6:27:30	6:13:40	6:00:10	5:47:10	5:34:40	5:22:40	5:11:00	4:59:50	4:49:00	4:38:40	4:28:40	4:19:00	4:09:40
15	8:38:00	8:19:20	8:01:20	7:44:00	7:27:20	7:11:10	6:55:40	6:40:40	6:26:20	6:12:20	5:59:00	5:46:00	5:33:40	5:21:30	5:10:00	4:58:50	4:48:00	4:37:40	4:27:40	4:18:00
16	8:55:10	8:36:00	8:17:20	7:59:30	7:42:10	7:25:30	7:09:30	6:54:00	6:39:10	6:24:50	6:11:00	5:57:30	5:44:40	5:32:20	5:20:20	5:08:50	4:57:40	4:47:00	4:36:40	4:26:40
17	9:12:40	8:52:50	8:33:40	8:15:10	7:57:20	7:40:10	7:23:30	7:07:30	6:52:10	6:37:20	6:23:00	6:09:20	5:56:00	5:43:10	5:30:50	5:18:50	5:07:20	4:56:20	4:45:40	4:35:20
18	9:30:30	9:09:50	8:50:10	8:31:00	8:12:40	7:54:50	7:37:50	7:21:20	7:05:30	6:50:10	6:35:20	6:21:10	6:07:20	5:54:10	5:41:20	5:29:10	5:17:20	5:05:50	4:54:50	4:44:10
19	9:48:20	9:27:10	9:06:50	8:47:10	8:28:10	8:09:50	7:52:10	7:35:10	7:18:50	7:03:00	6:47:50	6:33:10	6:19:00	6:05:20	5:52:10	5:39:30	5:27:20	5:15:30	5:04:10	4:53:10
20	10:06:40	9:44:50	9:23:50	9:03:30	8:43:50	8:25:00	8:06:50	7:49:20	7:32:30	7:16:10	7:00:30	6:45:20	6:30:40	6:16:40	6:03:10	5:50:00	5:37:30	5:25:20	5:13:30	5:02:20
21	10:25:10	10:02:40	9:41:00	9:20:00	8:59:50	8:40:30	8:21:40	8:03:40	7:46:10	7:29:30	7:13:20	6:57:40	6:42:40	6:28:10	6:14:10	6:00:40	5:47:40	5:35:10	5:23:10	5:11:30
22	10:43:50	10:20:40	9:58:20	9:36:50	9:16:00	8:56:00	8:36:40	8:18:10	8:00:10	7:43:00	7:26:20	7:10:10	6:54:40	6:39:50	6:25:20	6:11:30	5:58:10	5:45:10	5:32:50	5:20:50
23	11:02:50	10:39:00	10:16:00	9:53:50	9:32:30	9:11:50	8:52:00	8:32:50	8:14:20	7:56:40	7:39:30	7:22:50	7:07:00	6:51:30	6:36:50	6:22:30	6:08:40	5:55:30	5:42:40	5:30:20
24	11:22:10	10:57:40	10:34:00	10:11:10	9:49:10	9:28:00	9:07:30	8:47:50	8:28:50	8:10:30	7:52:50	7:35:50	7:19:20	7:03:30	6:48:20	6:33:40	6:19:30	6:05:50	5:52:40	5:39:50
25	11:41:40	11:16:30	10:52:10	10:28:40	10:06:00	9:44:10	9:23:10	9:02:50	8:43:20	8:24:30	8:06:20	7:48:50	7:32:00	7:15:40	7:00:00	6:44:50	6:30:20	6:16:20	6:02:40	5:49:40
